[ 0.00234189  0.99765811]
[ 0.00352736  0.99647264]
[ 0.00438564  0.99561436]
[ 0.00468548  0.99531452]
[ 0.00748751  0.99251249]
[ 0.00838299  0.99161701]
[ 0.00899298  0.99100702]
[ 0.00941487  0.99058513]
[ 0.00985361  0.99014639]
[ 0.01049107  0.98950893]
[ 0.01071313  0.98928687]
[ 0.01147282  0.98852718]
[ 0.01161705  0.98838295]
[ 0.01171799  0.98828201]
[ 0.01187468  0.98812532]
[ 0.0120496  0.9879504]
[ 0.01285111  0.98714889]
[ 0.01299843  0.98700157]
[ 0.01382576  0.98617424]
[ 0.01452857  0.98547143]
[ 0.01605687  0.98394313]
[ 0.01634551  0.98365449]
[ 0.01677184  0.98322816]
[ 0.01698811  0.98301189]
[ 0.01702973  0.98297027]
[ 0.01794566  0.98205434]
[ 0.01814609  0.98185391]
[ 0.01819896  0.98180104]
[ 0.01827947  0.98172053]
[ 0.01897622  0.98102378]
[ 0.01914558  0.98085442]
[ 0.01918267  0.98081733]
[ 0.01926415  0.98073585]
[ 0.01982675  0.98017325]
[ 0.01983195  0.98016805]
[ 0.02005919  0.97994081]
[ 0.02040473  0.97959527]
[ 0.02127615  0.97872385]
[ 0.02148365  0.97851635]
[ 0.0215385  0.9784615]
[ 0.02178986  0.97821014]
[ 0.02212287  0.97787713]
[ 0.02225844  0.97774156]
[ 0.0222792  0.9777208]
[ 0.02232748  0.97767252]
[ 0.02282694  0.97717306]
[ 0.02311851  0.97688149]
[ 0.02314975  0.97685025]
[ 0.02344369  0.97655631]
[ 0.02360462  0.97639538]
[ 0.02371272  0.97628728]
[ 0.02378432  0.97621568]
[ 0.02378793  0.97621207]
[ 0.0237888  0.9762112]
[ 0.02387431  0.97612569]
[ 0.02396883  0.97603117]
[ 0.02539968  0.97460032]
[ 0.02541403  0.97458597]
[ 0.02543633  0.97456367]
[ 0.02678445  0.97321555]
[ 0.02681764  0.97318236]
[ 0.02694961  0.97305039]
[ 0.02802253  0.97197747]
[ 0.02814827  0.97185173]
[ 0.02820473  0.97179527]
[ 0.02840706  0.97159294]
[ 0.02849628  0.97150372]
[ 0.02867827  0.97132173]
[ 0.02874634  0.97125366]
[ 0.0295361  0.9704639]
[ 0.02957851  0.97042149]
[ 0.02959048  0.97040952]
[ 0.02974149  0.97025851]
[ 0.02997534  0.97002466]
[ 0.03007214  0.96992786]
[ 0.03022881  0.96977119]
[ 0.03027603  0.96972397]
[ 0.03040499  0.96959501]
[ 0.03045418  0.96954582]
[ 0.03087787  0.96912213]
[ 0.03112366  0.96887634]
[ 0.03117061  0.96882939]
[ 0.03121843  0.96878157]
[ 0.03124595  0.96875405]
[ 0.03126002  0.96873998]
[ 0.03132731  0.96867269]
[ 0.03136544  0.96863456]
[ 0.03149784  0.96850216]
[ 0.03152706  0.96847294]
[ 0.0316183  0.9683817]
[ 0.03169375  0.96830625]
[ 0.03222423  0.96777577]
[ 0.03230744  0.96769256]
[ 0.03284722  0.96715278]
[ 0.03299374  0.96700626]
[ 0.03299846  0.96700154]
[ 0.03315057  0.96684943]
[ 0.03316848  0.96683152]
[ 0.03330762  0.96669238]
[ 0.03337284  0.96662716]
[ 0.03343644  0.96656356]
[ 0.03345036  0.96654964]
[ 0.03367126  0.96632874]
[ 0.03381361  0.96618639]
[ 0.03402216  0.96597784]
[ 0.03414983  0.96585017]
[ 0.03416683  0.96583317]
[ 0.03427007  0.96572993]
[ 0.03433195  0.96566805]
[ 0.03439691  0.96560309]
[ 0.0344533  0.9655467]
[ 0.03554854  0.96445146]
[ 0.03592983  0.96407017]
[ 0.03600721  0.96399279]
[ 0.03612822  0.96387178]
[ 0.03631311  0.96368689]
[ 0.03644972  0.96355028]
[ 0.03660665  0.96339335]
[ 0.03661154  0.96338846]
[ 0.03709821  0.96290179]
[ 0.03720093  0.96279907]
[ 0.03723227  0.96276773]
[ 0.03762192  0.96237808]
[ 0.03776279  0.96223721]
[ 0.03808922  0.96191078]
[ 0.03846749  0.96153251]
[ 0.03867137  0.96132863]
[ 0.03875048  0.96124952]
[ 0.03879409  0.96120591]
[ 0.03879617  0.96120383]
[ 0.03962162  0.96037838]
[ 0.03962213  0.96037787]
[ 0.03962444  0.96037556]
[ 0.03965987  0.96034013]
[ 0.03970286  0.96029714]
[ 0.03996733  0.96003267]
[ 0.04005  0.95995]
[ 0.04039628  0.95960372]
[ 0.0403972  0.9596028]
[ 0.04068439  0.95931561]
[ 0.04068708  0.95931292]
[ 0.04088966  0.95911034]
[ 0.04095298  0.95904702]
[ 0.04136109  0.95863891]
[ 0.04149482  0.95850518]
[ 0.04153616  0.95846384]
[ 0.04222174  0.95777826]
[ 0.0422772  0.9577228]
[ 0.04229239  0.95770761]
[ 0.042331  0.957669]
[ 0.04241166  0.95758834]
[ 0.04241653  0.95758347]
[ 0.04248057  0.95751943]
[ 0.0425895  0.9574105]
[ 0.04268367  0.95731633]
[ 0.04302435  0.95697565]
[ 0.04312899  0.95687101]
[ 0.04333766  0.95666234]
[ 0.04415128  0.95584872]
[ 0.04424621  0.95575379]
[ 0.04440294  0.95559706]
[ 0.04451117  0.95548883]
[ 0.04488192  0.95511808]
[ 0.04508422  0.95491578]
[ 0.04521346  0.95478654]
[ 0.045262  0.954738]
[ 0.04538218  0.95461782]
[ 0.04548727  0.95451273]
[ 0.04574347  0.95425653]
[ 0.04586476  0.95413524]
[ 0.04590412  0.95409588]
[ 0.04596673  0.95403327]
[ 0.04625344  0.95374656]
[ 0.04625982  0.95374018]
[ 0.04631602  0.95368398]
[ 0.04642866  0.95357134]
[ 0.04647579  0.95352421]
[ 0.04661643  0.95338357]
[ 0.04663099  0.95336901]
[ 0.04677181  0.95322819]
[ 0.04682772  0.95317228]
[ 0.04696302  0.95303698]
[ 0.04735436  0.95264564]
[ 0.04758295  0.95241705]
[ 0.04765653  0.95234347]
[ 0.04786758  0.95213242]
[ 0.04798498  0.95201502]
[ 0.04802186  0.95197814]
[ 0.04807728  0.95192272]
[ 0.04837259  0.95162741]
[ 0.04850817  0.95149183]
[ 0.04853838  0.95146162]
[ 0.04855083  0.95144917]
[ 0.04866254  0.95133746]
[ 0.0486896  0.9513104]
[ 0.04870953  0.95129047]
[ 0.04914686  0.95085314]
[ 0.04927607  0.95072393]
[ 0.04939526  0.95060474]
[ 0.04944111  0.95055889]
[ 0.04980427  0.95019573]
[ 0.04980838  0.95019162]
[ 0.05002165  0.94997835]
[ 0.05046687  0.94953313]
[ 0.05055521  0.94944479]
[ 0.05064981  0.94935019]
[ 0.0507083  0.9492917]
[ 0.05101529  0.94898471]
[ 0.051087  0.948913]
[ 0.05114442  0.94885558]
[ 0.05118033  0.94881967]
[ 0.05131419  0.94868581]
[ 0.05141355  0.94858645]
[ 0.05154861  0.94845139]
[ 0.05163493  0.94836507]
[ 0.05208461  0.94791539]
[ 0.05210174  0.94789826]
[ 0.05210773  0.94789227]
[ 0.05216189  0.94783811]
[ 0.05225991  0.94774009]
[ 0.0523694  0.9476306]
[ 0.0524376  0.9475624]
[ 0.05250377  0.94749623]
[ 0.05256618  0.94743382]
[ 0.05301593  0.94698407]
[ 0.05307118  0.94692882]
[ 0.05313751  0.94686249]
[ 0.0533545  0.9466455]
[ 0.05348594  0.94651406]
[ 0.05349694  0.94650306]
[ 0.05359168  0.94640832]
[ 0.05421218  0.94578782]
[ 0.05422356  0.94577644]
[ 0.05454242  0.94545758]
[ 0.05456147  0.94543853]
[ 0.05460371  0.94539629]
[ 0.05468943  0.94531057]
[ 0.05471268  0.94528732]
[ 0.05531798  0.94468202]
[ 0.05594874  0.94405126]
[ 0.05613186  0.94386814]
[ 0.05617583  0.94382417]
[ 0.05629882  0.94370118]
[ 0.05649787  0.94350213]
[ 0.05685252  0.94314748]
[ 0.05688168  0.94311832]
[ 0.05688366  0.94311634]
[ 0.05692945  0.94307055]
[ 0.05703908  0.94296092]
[ 0.05725463  0.94274537]
[ 0.05728709  0.94271291]
[ 0.05730763  0.94269237]
[ 0.05740839  0.94259161]
[ 0.05754258  0.94245742]
[ 0.05771512  0.94228488]
[ 0.05779625  0.94220375]
[ 0.05782598  0.94217402]
[ 0.05785043  0.94214957]
[ 0.05790692  0.94209308]
[ 0.05821439  0.94178561]
[ 0.05840927  0.94159073]
[ 0.05844628  0.94155372]
[ 0.0588072  0.9411928]
[ 0.05906236  0.94093764]
[ 0.05907942  0.94092058]
[ 0.05908306  0.94091694]
[ 0.05912086  0.94087914]
[ 0.05922986  0.94077014]
[ 0.05934543  0.94065457]
[ 0.05942713  0.94057287]
[ 0.05948209  0.94051791]
[ 0.05990746  0.94009254]
[ 0.0600545  0.9399455]
[ 0.06011851  0.93988149]
[ 0.06016542  0.93983458]
[ 0.06030505  0.93969495]
[ 0.06042296  0.93957704]
[ 0.06042465  0.93957535]
[ 0.060588  0.939412]
[ 0.06062183  0.93937817]
[ 0.06070772  0.93929228]
[ 0.06075168  0.93924832]
[ 0.06075363  0.93924637]
[ 0.06075892  0.93924108]
[ 0.06084839  0.93915161]
[ 0.06104875  0.93895125]
[ 0.06108216  0.93891784]
[ 0.06110588  0.93889412]
[ 0.06111939  0.93888061]
[ 0.06115639  0.93884361]
[ 0.06116609  0.93883391]
[ 0.06127824  0.93872176]
[ 0.06137344  0.93862656]
[ 0.06152417  0.93847583]
[ 0.06162261  0.93837739]
[ 0.06164249  0.93835751]
[ 0.06198197  0.93801803]
[ 0.06207737  0.93792263]
[ 0.0623385  0.9376615]
[ 0.06243677  0.93756323]
[ 0.06244499  0.93755501]
[ 0.06266794  0.93733206]
[ 0.06271389  0.93728611]
[ 0.06274906  0.93725094]
[ 0.06276398  0.93723602]
[ 0.06280595  0.93719405]
[ 0.06286301  0.93713699]
[ 0.06294665  0.93705335]
[ 0.06296615  0.93703385]
[ 0.0631777  0.9368223]
[ 0.06322763  0.93677237]
[ 0.06330503  0.93669497]
[ 0.06330694  0.93669306]
[ 0.06336629  0.93663371]
[ 0.06344189  0.93655811]
[ 0.06345824  0.93654176]
[ 0.06358091  0.93641909]
[ 0.06368184  0.93631816]
[ 0.06370018  0.93629982]
[ 0.06381406  0.93618594]
[ 0.06387189  0.93612811]
[ 0.0641233  0.9358767]
