      Iter       Train Loss   Remaining Time 
         1           1.3786           13.59s
         2           1.3732           12.12s
         3           1.3681           10.62s
         4           1.3636            9.08s
         5           1.3589            7.41s
         6           1.3547            5.98s
         7           1.3502            4.47s
         8           1.3461            2.93s
         9           1.3422            1.45s
        10           1.3385            0.00s
¬рем€ обучени€ градиентного бустинга: 0:00:16.404142
      Iter       Train Loss   Remaining Time 
         1           1.3784           11.12s
         2           1.3729            9.62s
         3           1.3678            8.46s
         4           1.3634            7.21s
         5           1.3591            6.03s
         6           1.3545            4.72s
         7           1.3500            3.52s
         8           1.3459            2.33s
         9           1.3417            1.15s
        10           1.3380            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3788           10.62s
         2           1.3732            9.44s
         3           1.3681            8.19s
         4           1.3637            7.01s
         5           1.3591            5.87s
         6           1.3542            4.65s
         7           1.3498            3.42s
         8           1.3460            2.29s
         9           1.3419            1.14s
        10           1.3382            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3786           10.71s
         2           1.3730            9.56s
         3           1.3679            8.36s
         4           1.3634            7.10s
         5           1.3589            5.98s
         6           1.3544            4.71s
         7           1.3500            3.48s
         8           1.3457            2.30s
         9           1.3418            1.14s
        10           1.3379            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3781           10.44s
         2           1.3724            9.32s
         3           1.3675            8.17s
         4           1.3629            7.02s
         5           1.3581            5.74s
         6           1.3538            4.63s
         7           1.3491            3.48s
         8           1.3448            2.28s
         9           1.3408            1.13s
        10           1.3371            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3786           10.53s
         2           1.3731            9.54s
         3           1.3680            8.34s
         4           1.3636            7.22s
         5           1.3589            5.88s
         6           1.3544            4.67s
         7           1.3503            3.52s
         8           1.3462            2.33s
         9           1.3420            1.15s
        10           1.3383            0.00s
n_estimators= 10  среднее качество работы:  66.44
      Iter       Train Loss   Remaining Time 
         1           1.3786           29.83s
         2           1.3732           27.99s
         3           1.3681           26.75s
         4           1.3636           25.20s
         5           1.3589           22.90s
         6           1.3547           21.53s
         7           1.3502           19.81s
         8           1.3461           17.97s
         9           1.3422           16.27s
        10           1.3385           14.97s
        20           1.3092            0.00s
¬рем€ обучени€ градиентного бустинга: 0:00:30.581298
      Iter       Train Loss   Remaining Time 
         1           1.3784           22.42s
         2           1.3729           21.78s
         3           1.3680           21.82s
         4           1.3634           20.84s
         5           1.3590           19.95s
         6           1.3546           17.99s
         7           1.3500           16.36s
         8           1.3456           14.75s
         9           1.3418           13.35s
        10           1.3380           12.05s
        20           1.3083            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3784           22.42s
         2           1.3728           21.06s
         3           1.3678           20.06s
         4           1.3634           18.68s
         5           1.3589           17.61s
         6           1.3542           16.13s
         7           1.3498           14.69s
         8           1.3455           13.38s
         9           1.3415           12.22s
        10           1.3377           11.05s
        20           1.3080            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3788           21.86s
         2           1.3733           20.89s
         3           1.3682           19.89s
         4           1.3636           18.65s
         5           1.3592           17.52s
         6           1.3546           16.36s
         7           1.3502           14.94s
         8           1.3460           13.59s
         9           1.3419           12.34s
        10           1.3382           11.17s
        20           1.3082            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3786           22.24s
         2           1.3731           20.79s
         3           1.3680           19.73s
         4           1.3636           18.73s
         5           1.3591           17.61s
         6           1.3547           16.24s
         7           1.3501           14.99s
         8           1.3459           13.66s
         9           1.3418           12.50s
        10           1.3382           11.25s
        20           1.3081            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3783           22.81s
         2           1.3727           21.24s
         3           1.3676           20.06s
         4           1.3631           18.88s
         5           1.3587           17.79s
         6           1.3540           16.27s
         7           1.3495           14.92s
         8           1.3453           13.62s
         9           1.3413           12.40s
        10           1.3375           11.15s
        20           1.3078            0.00s
n_estimators= 20  среднее качество работы:  68.15
      Iter       Train Loss   Remaining Time 
         1           1.3786           44.68s
         2           1.3732           42.85s
         3           1.3681           41.33s
         4           1.3636           39.66s
         5           1.3589           37.21s
         6           1.3547           36.89s
         7           1.3502           35.01s
         8           1.3461           32.88s
         9           1.3422           30.95s
        10           1.3385           29.25s
        20           1.3092           14.88s
        30           1.2892            0.00s
¬рем€ обучени€ градиентного бустинга: 0:00:45.038719
      Iter       Train Loss   Remaining Time 
         1           1.3783           33.64s
         2           1.3726           32.90s
         3           1.3676           32.04s
         4           1.3632           30.88s
         5           1.3586           29.76s
         6           1.3541           28.08s
         7           1.3498           26.62s
         8           1.3453           25.33s
         9           1.3413           23.99s
        10           1.3374           22.58s
        20           1.3077           11.23s
        30           1.2877            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3784           34.22s
         2           1.3729           33.47s
         3           1.3680           32.49s
         4           1.3633           31.07s
         5           1.3585           29.30s
         6           1.3542           28.36s
         7           1.3499           26.55s
         8           1.3457           25.25s
         9           1.3420           24.25s
        10           1.3383           22.98s
        20           1.3086           11.11s
        30           1.2886            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3786           35.11s
         2           1.3730           33.75s
         3           1.3680           32.32s
         4           1.3635           31.02s
         5           1.3592           29.96s
         6           1.3548           28.29s
         7           1.3503           26.82s
         8           1.3461           25.25s
         9           1.3422           23.86s
        10           1.3385           22.45s
        20           1.3085           11.08s
        30           1.2884            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3783           34.23s
         2           1.3728           32.91s
         3           1.3676           31.51s
         4           1.3630           30.23s
         5           1.3582           28.36s
         6           1.3534           26.85s
         7           1.3488           25.60s
         8           1.3449           24.76s
         9           1.3410           23.57s
        10           1.3372           22.32s
        20           1.3069           11.11s
        30           1.2864            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3788           42.63s
         2           1.3734           40.33s
         3           1.3684           40.51s
         4           1.3637           40.83s
         5           1.3594           37.91s
         6           1.3549           34.85s
         7           1.3504           32.08s
         8           1.3462           29.87s
         9           1.3420           27.77s
        10           1.3380           26.13s
        20           1.3078           12.02s
        30           1.2874            0.00s
n_estimators= 30  среднее качество работы:  68.94
      Iter       Train Loss   Remaining Time 
         1           1.3786            1.02m
         2           1.3732           58.72s
         3           1.3681           57.11s
         4           1.3636           55.27s
         5           1.3589           53.70s
         6           1.3547           52.82s
         7           1.3502           51.02s
         8           1.3461           48.49s
         9           1.3422           46.20s
        10           1.3385           44.61s
        20           1.3092           28.82s
        30           1.2892           13.01s
        40           1.2747            0.00s
¬рем€ обучени€ градиентного бустинга: 0:00:47.117425
      Iter       Train Loss   Remaining Time 
         1           1.3787           19.90s
         2           1.3732           19.38s
         3           1.3682           18.50s
         4           1.3638           18.00s
         5           1.3590           17.22s
         6           1.3548           16.83s
         7           1.3502           16.22s
         8           1.3460           15.68s
         9           1.3421           15.12s
        10           1.3384           14.58s
        20           1.3091           15.79s
        30           1.2885            8.75s
        40           1.2740            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3784           21.84s
         2           1.3727           20.91s
         3           1.3676           20.73s
         4           1.3631           20.52s
         5           1.3583           19.74s
         6           1.3539           19.38s
         7           1.3493           18.91s
         8           1.3450           17.84s
         9           1.3411           17.12s
        10           1.3373           16.29s
        20           1.3075           10.44s
        30           1.2871            5.05s
        40           1.2725            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3784           19.89s
         2           1.3728           19.57s
         3           1.3678           18.87s
         4           1.3633           18.45s
         5           1.3588           17.92s
         6           1.3541           17.17s
         7           1.3498           16.36s
         8           1.3457           15.76s
         9           1.3418           15.19s
        10           1.3378           14.70s
        20           1.3083           13.51s
        30           1.2882            8.05s
        40           1.2735            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3786           46.41s
         2           1.3730           45.04s
         3           1.3680           43.79s
         4           1.3632           45.55s
         5           1.3590           43.66s
         6           1.3540           41.81s
         7           1.3497           39.35s
         8           1.3453           37.79s
         9           1.3413           36.30s
        10           1.3374           36.54s
        20           1.3072           21.49s
        30           1.2867            8.79s
        40           1.2717            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3785           20.28s
         2           1.3731           19.95s
         3           1.3680           19.12s
         4           1.3636           18.63s
         5           1.3588           17.64s
         6           1.3546           17.34s
         7           1.3503           16.60s
         8           1.3458           16.08s
         9           1.3419           15.40s
        10           1.3382           14.73s
        20           1.3083           10.03s
        30           1.2884            5.20s
        40           1.2736            0.00s
n_estimators= 40  среднее качество работы:  69.46
      Iter       Train Loss   Remaining Time 
         1           1.3786           33.83s
         2           1.3732           33.61s
         3           1.3681           32.75s
         4           1.3636           31.63s
         5           1.3589           30.61s
         6           1.3547           30.00s
         7           1.3502           29.12s
         8           1.3461           28.14s
         9           1.3422           27.20s
        10           1.3385           26.44s
        20           1.3092           21.45s
        30           1.2892           18.60s
        40           1.2747           10.53s
        50           1.2638            0.00s
¬рем€ обучени€ градиентного бустинга: 0:00:57.034614
      Iter       Train Loss   Remaining Time 
         1           1.3790           59.30s
         2           1.3736           56.89s
         3           1.3687           55.78s
         4           1.3643           54.29s
         5           1.3599           53.38s
         6           1.3553           51.49s
         7           1.3508           49.64s
         8           1.3465           47.68s
         9           1.3425           46.39s
        10           1.3388           45.18s
        20           1.3090           34.33s
        30           1.2890           22.84s
        40           1.2743           11.29s
        50           1.2633            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3785           58.33s
         2           1.3728           56.65s
         3           1.3678           55.01s
         4           1.3631           53.49s
         5           1.3586           52.67s
         6           1.3540           50.32s
         7           1.3496           48.18s
         8           1.3452           46.48s
         9           1.3412           45.11s
        10           1.3376           44.85s
        20           1.3074           33.04s
        30           1.2871           19.46s
        40           1.2723            8.68s
        50           1.2608            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3785           24.01s
         2           1.3729           24.01s
         3           1.3680           23.35s
         4           1.3635           23.06s
         5           1.3591           22.46s
         6           1.3544           21.60s
         7           1.3500           20.92s
         8           1.3458           20.19s
         9           1.3419           19.48s
        10           1.3381           19.30s
        20           1.3082           14.21s
        30           1.2879            9.29s
        40           1.2733            4.63s
        50           1.2618            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3780           58.34s
         2           1.3723           56.41s
         3           1.3673           55.32s
         4           1.3629           53.83s
         5           1.3585           52.75s
         6           1.3540           50.68s
         7           1.3493           49.09s
         8           1.3451           47.26s
         9           1.3411           45.71s
        10           1.3372           44.45s
        20           1.3075           32.71s
        30           1.2872           18.06s
        40           1.2724            8.18s
        50           1.2611            0.00s
      Iter       Train Loss   Remaining Time 
         1           1.3785           24.50s
         2           1.3731           23.76s
         3           1.3681           23.35s
         4           1.3636           22.89s
         5           1.3592           22.95s
         6           1.3546           22.73s
         7           1.3501           22.42s
         8           1.3459           22.00s
         9           1.3419           21.60s
        10           1.3381           21.04s
        20           1.3085           15.00s
        30           1.2883            9.75s
        40           1.2733            4.83s
        50           1.2622            0.00s
n_estimators= 50  среднее качество работы:  69.75




Fitting 5 folds for each of 4 candidates, totalling 20 fits
[Parallel(n_jobs=1)]: Done  20 out of  20 | elapsed:  3.8min finished
best_params
{'max_depth': 4, 'max_features': 'log2', 'n_estimators': 80}
best_score
0.704000243076

[Parallel(n_jobs=1)]: Done  30 out of  30 | elapsed:  3.9min finished
best_params
{'max_features': 'log2', 'n_estimators': 100, 'max_depth': 5}
best_score
0.70853916089
Time elapsed: 0:00:13.052061
 ачество при лучших параметрах  70.97
***Ќаиболее значимые характеристики***
1: d1_gold=4.25
2: d2_gold=4.21
3: d4_gold=4.09
4: r1_gold=4.07
5: r3_gold=3.84
6: r4_gold=3.75
7: r2_gold=3.74
8: d5_gold=3.68
9: r5_gold=3.35
10: d3_gold=3.14
11: r1_lh=2.23
12: d3_lh=2.2
13: d4_lh=2.16
14: r5_lh=2.07
